,Q,A
1,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列哪种说法是正确的？论文复检不合格者，不受理其论文答辩申请，须推迟答辩，并在导师指导下对论文进行不少于 (  )个月的修改，再申请重新进行检测。,D
2,凡转引他人成果，应注明转引,D
3,下列哪个不是当今社会的学风所包括的内容,D
4,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
5,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
6,以下哪项不符合引文规范,B
7,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
8,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
9,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
10,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
11,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
12,引文原则上应以使用 () 为原则。,B
13,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
14,根据《关于科技工作者行为准则的若干意见》，科技工作者和有关科技管理机构在科研立项、科技成果的评审、鉴定、验收和奖励等活动中，相关的评价结论严禁滥用以下哪种用语,D
15,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
16,以下关于“学术成果”的描述，错误的是,D
17,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
18,下列不属于一稿多投现象的是,C
19,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
20,任何成果均应在发表前经所有署名人 ( )，署名者应对该项成果承担相应   的学术责任、道义责任和法律责任。,C
21,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
22,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
23,科学道德和学风问题的本质是,C
24,下列属于科研伦理决策过程的是,D
25,以下说法符合“学术规范”定义的是,B
26,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
27,科研规范具有( )和( )的规制性安排。,D
28,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
29,科学共同体的沉淀是,C
30,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
31,诚实守信是保障学术成果可靠性的前提，从事学术研究的人不应有任何不诚实的行为。下列哪个行为违背了诚实守信原则。,D
32,根据《著作权法》第27 条，以下属于“适当引用”的是,D
33,加强学术道德和学风建设，遏制学术不端行为，必须,D
34,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
35,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
36,科研规范主要是指从事科研活动的行为，其主体是,D
37,学界公认的科研规范中，规定在参与各种推荐、评审、鉴定、答辩和评奖等活动中，要坚持客观公正的评价标准，坚持按章办事，不徇私情，自觉抵制不良社会风气的影响和干扰。这条原则属于当代科研工作者应该坚持的,D
38,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
0,"关键词是指研究成果中起关键作用、最能代表成果中心内容特征的词或词组。关键词的选取也要遵循一定的学术规范,下列符合该规范的是",D
1,下列属于科研伦理决策过程的是,D
2,下列哪一项行为不属于科研不端行为。,C
3,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
4,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
5,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
6,加强学术道德和学风建设，遏制学术不端行为，必须,D
7,学术批评要坚持学术与学术对话， 不同学术观点的争议要采用的方法来进行,A
8,以下关于“学术成果”的描述，错误的是,D
9,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
10,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
11,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
12,根据《著作权法》第27 条，以下属于“适当引用”的是,D
13,学术引用的规则有,D
14,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
15,以下关于“直接引用”的说法，错误的是,D
16,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
17,内容摘要也称提要，是学术成果的内容不加注释和评论的简短陈述。下列属于摘要囊括的内容的是,D
18,科研规范主要是指从事科研活动的行为，其主体是,D
19,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
20,在高等学校中，有些研究活动是为了对学生进行相关的学术训练.下面不属于这种训练的目的的是,A
21,以下关于“综述”有关规定的说法，错误的是,C
22,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
23,解决科学道德和学风问题， 关键在于抓好教育、制度和监督三个环节教育是( )，制度是( )监督是( )，惩防结合、标本兼治。,A
24,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
25,中文引文注释的必要内容中，网络文献应标注,D
26,科研道德考察的是科研人员自身的道德修养、品行和诚实及杜撰、抄袭、剽窃及学术不当行为产生的根源、表现、危害及对策。下列属于违反科研道德的是,C
27,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
28,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
29,伪造和篡改可能导致的后果是,D
30,下列哪个不是当今社会的学风所包括的内容,D
31,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
32,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
33,以下说法中属于“剽窃”的是,C
34,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
35,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
36,下列不属于一稿多投现象的是,C
37,科学共同体的沉淀是,C
38,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列哪种说法是正确的？论文复检不合格者，不受理其论文答辩申请，须推迟答辩，并在导师指导下对论文进行不少于 (  )个月的修改，再申请重新进行检测。,D
0,加强学术道德和学风建设，遏制学术不端行为，必须,D
1,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
2,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
3,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
4,按照《学位论文作假行为处理办法》规定，一下属于所称学位论文作假行为的是,D
5,作者为了彰显自己查阅了大量文献，故意列出一些与研究内容基本没有关系的文献；或作者根本没有查阅，而是直接从他人的参考文献中搬来；或为了表示作者的研究水平和能力，列出一些无关或看似有关，实际上根本没有查阅的文献。上述情况属于,C
6,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
7,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
8,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
9,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
10,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
11,伪造和篡改可能导致的后果是,D
12,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
13,学术界一般认为，在涉及到人的科研活动中要遵守学界公认的四项基本的伦理原则。下列不属于这四项基本原则的是,C
14,学术引用的规则有,D
15,我国司法实践中认定抄袭和剽窃的标准有三， 其中第二条标准对剽窃者使用他人作品是否超出了“适当引用” 的范围做了“量”和“质”的认定。对引用的“量”，我国《图书期刊保护试行条例实施细则》中的第十五条有明确规定： 凡引用一人或多人的作品，所引用的总量不得超过被引用作品的,A
16,以下关于科研项目申请的做法中，正确的是,A
17,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
18,以下关于“直接引用”的说法，错误的是,D
19,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
20,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
21,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
22,任何成果均应在发表前经所有署名人 ( )，署名者应对该项成果承担相应   的学术责任、道义责任和法律责任。,C
23,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
24,科研不当行为与科研不端行为都属于科学研究中存在的严重问题，其中科研不当行为虽然没有直接触犯明确规定的研究行为的道德底线， 但也同样违反科学的目的、精神和科学研究事业的基本道德原则。下列不属于科研不当行为的是,C
25,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
26,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
27,科学道德和学风问题的本质是,C
28,下列属于科研伦理决策过程的是,D
29,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
30,下列不属于一稿多投现象的是,C
31,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
32,科研规范主要是指从事科研活动的行为，其主体是,D
33,下列哪一项行为不属于科研不端行为。,C
34,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
35,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
36,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
37,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
0,科研规范主要是指从事科研活动的行为，其主体是,D
1,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
2,下列选项中不属于“抄袭”的是,D
3,解决科学道德和学风问题， 关键在于抓好教育、制度和监督三个环节教育是( )，制度是( )监督是( )，惩防结合、标本兼治。,A
4,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
5,以下说法中属于“剽窃”的是,C
6,以下哪种行为不属于学术不端行为。,D
7,学位论文的文献综述一般应在完成开题报告( )完成。,A
8,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
9,根据《关于科技工作者行为准则的若干意见》，科技工作者和有关科技管理机构在科研立项、科技成果的评审、鉴定、验收和奖励等活动中，相关的评价结论严禁滥用以下哪种用语,D
10,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
11,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
12,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列哪种说法是正确的？论文复检不合格者，不受理其论文答辩申请，须推迟答辩，并在导师指导下对论文进行不少于 (  )个月的修改，再申请重新进行检测。,D
13,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
14,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
15,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
16,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
17,根据《著作权法》第27 条，以下属于“适当引用”的是,D
18,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
19,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
20,下列关于“署名”的说法，错误的是,D
21,"关键词是指研究成果中起关键作用、最能代表成果中心内容特征的词或词组。关键词的选取也要遵循一定的学术规范,下列符合该规范的是",D
22,根据《学位论文作假行为处理办法》规定，为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读学生的，其所在学校或者学位授予单位可以给予（ ）处分。,D
23,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
24,下列哪一项行为不属于科研不端行为。,C
25,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
26,科学共同体的沉淀是,C
27,科研规范具有( )和( )的规制性安排。,D
28,作者为了彰显自己查阅了大量文献，故意列出一些与研究内容基本没有关系的文献；或作者根本没有查阅，而是直接从他人的参考文献中搬来；或为了表示作者的研究水平和能力，列出一些无关或看似有关，实际上根本没有查阅的文献。上述情况属于,C
29,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
30,科学道德和学风问题的本质是,C
31,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
32,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
33,下列属于科研伦理决策过程的是,D
34,任何成果均应在发表前经所有署名人 ( )，署名者应对该项成果承担相应   的学术责任、道义责任和法律责任。,C
35,科研不当行为与科研不端行为都属于科学研究中存在的严重问题，其中科研不当行为虽然没有直接触犯明确规定的研究行为的道德底线， 但也同样违反科学的目的、精神和科学研究事业的基本道德原则。下列不属于科研不当行为的是,C
36,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
37,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
38,以下关于“文献综述”的说法，错误的是,C
39,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
40,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
41,伪造和篡改可能导致的后果是,D
0,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
1,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
2,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
3,学术界一般认为，在涉及到人的科研活动中要遵守学界公认的四项基本的伦理原则。下列不属于这四项基本原则的是,C
4,解决科学道德和学风问题， 关键在于抓好教育、制度和监督三个环节教育是( )，制度是( )监督是( )，惩防结合、标本兼治。,A
5,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
6,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
7,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
8,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
9,根据《学位论文作假行为处理办法》规定，为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读学生的，其所在学校或者学位授予单位可以给予（ ）处分。,D
10,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
11,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
12,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
13,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
14,根据《关于科技工作者行为准则的若干意见》，科技工作者和有关科技管理机构在科研立项、科技成果的评审、鉴定、验收和奖励等活动中，相关的评价结论严禁滥用以下哪种用语,D
15,作者为了彰显自己查阅了大量文献，故意列出一些与研究内容基本没有关系的文献；或作者根本没有查阅，而是直接从他人的参考文献中搬来；或为了表示作者的研究水平和能力，列出一些无关或看似有关，实际上根本没有查阅的文献。上述情况属于,C
16,以下关于科研项目申请的做法中，正确的是,A
17,以下说法中属于“剽窃”的是,C
18,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
19,以下关于“参考文献”的说法，错误的是,C
20,下列哪个不是当今社会的学风所包括的内容,D
21,稿件原则上只能在一个刊物上发表，避免一稿多投，下列说法正确的是,A
22,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
23,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
24,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
25,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
26,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
27,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
28,按照《学位论文作假行为处理办法》规定，一下属于所称学位论文作假行为的是,D
29,内容摘要也称提要，是学术成果的内容不加注释和评论的简短陈述。下列属于摘要囊括的内容的是,D
30,科学共同体的沉淀是,C
31,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
32,凡转引他人成果，应注明转引,D
33,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
34,以下哪项不属于学术共同体的特点。,D
35,我国司法实践中认定抄袭和剽窃的标准有三， 其中第二条标准对剽窃者使用他人作品是否超出了“适当引用” 的范围做了“量”和“质”的认定。对引用的“量”，我国《图书期刊保护试行条例实施细则》中的第十五条有明确规定： 凡引用一人或多人的作品，所引用的总量不得超过被引用作品的,A
0,科研规范具有( )和( )的规制性安排。,D
1,中文引文注释的必要内容中，网络文献应标注,D
2,下列哪一项行为不属于科研不端行为。,C
3,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
4,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
5,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
6,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
7,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
8,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
9,诚实守信是保障学术成果可靠性的前提，从事学术研究的人不应有任何不诚实的行为。下列哪个行为违背了诚实守信原则。,D
10,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
11,选题应具有可行性是指,A
12,科研道德考察的是科研人员自身的道德修养、品行和诚实及杜撰、抄袭、剽窃及学术不当行为产生的根源、表现、危害及对策。下列属于违反科研道德的是,C
13,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
14,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
15,下列不属于一稿多投现象的是,C
16,在高等学校中，有些研究活动是为了对学生进行相关的学术训练.下面不属于这种训练的目的的是,A
17,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列哪种说法是正确的？论文复检不合格者，不受理其论文答辩申请，须推迟答辩，并在导师指导下对论文进行不少于 (  )个月的修改，再申请重新进行检测。,D
18,下列属于科研伦理决策过程的是,D
19,署名问题关乎学风建设，署名者要对其成果承担以下什么责任,D
20,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
21,下列选项中不属于“抄袭”的是,D
22,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
23,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
24,以下关于“文献综述”的说法，错误的是,C
25,以下关于“综述”有关规定的说法，错误的是,C
26,科学道德和学风问题的本质是,C
27,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
28,以下关于科研项目申请的做法中，正确的是,A
29,学术批评要坚持学术与学术对话， 不同学术观点的争议要采用的方法来进行,A
30,根据《学位论文作假行为处理办法》规定，为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读学生的，其所在学校或者学位授予单位可以给予（ ）处分。,D
31,伪造和篡改可能导致的后果是,D
32,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
33,加强学术道德和学风建设，遏制学术不端行为，必须,D
34,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
35,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
36,以下哪项不属于学术共同体的特点。,D
37,在科研结果及运用中常见的问题中，下列属于科研道德范畴的是,D
0,以下关于“文献综述”的说法，错误的是,C
1,伪造和篡改可能导致的后果是,D
2,合著论者应联合署名，署名次序应按( )排序。,D
3,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
4,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
